date,state,infected,landed flights,month
3/26/2020,HI,95,5,April
3/26/2020,SD,46,5,October
3/26/2020,ME,155,6,June
3/26/2020,GU,45,8,June
3/26/2020,WY,53,9,August
3/26/2020,NE,73,12,May
3/26/2020,NM,112,12,June
3/26/2020,WV,51,12,December
3/26/2020,ND,52,13,July
3/26/2020,PR,64,13,February
3/26/2020,DE,130,15,November
3/26/2020,AK,59,17,October
3/26/2020,MT,71,18,January
3/26/2020,VT,185,25,September
3/26/2020,NH,137,29,September
3/26/2020,SC,456,32,May
3/26/2020,IA,179,34,July
3/26/2020,KY,198,41,May
3/26/2020,RI,217,41,July
3/26/2020,KS,168,42,September
3/26/2020,DC,231,48,July
3/26/2020,ID,123,50,September
3/26/2020,AR,335,55,November
3/26/2020,UT,402,56,January
3/26/2020,MN,565,63,April
3/26/2020,VA,460,69,October
3/26/2020,OK,248,84,January
3/26/2020,NV,420,99,October
3/26/2020,MS,485,108,July
3/26/2020,OR,327,118,September
3/26/2020,AZ,577,127,March
3/26/2020,NC,636,132,April
3/26/2020,CT,1012,137,June
3/26/2020,WI,806,139,September
3/26/2020,MO,502,146,June
3/26/2020,MD,580,157,August
3/26/2020,OH,867,163,June
3/26/2020,IN,645,168,April
3/26/2020,TN,957,173,March
3/26/2020,CO,1086,174,October
3/26/2020,AL,506,223,February
3/26/2020,GA,1525,278,November
3/26/2020,TX,1396,422,February
3/26/2020,WA,4927,435,October
3/26/2020,LA,2305,510,September
3/26/2020,PA,1687,560,March
3/26/2020,MA,2318,579,January
3/26/2020,CA,3006,651,March
3/26/2020,FL,2355,673,March
3/26/2020,IL,2538,673,November
3/26/2020,MI,12475,1140,August
3/26/2020,NJ,6876,2474,August
3/26/2020,NY,37258,6447,September
3/27/2020,VI,19,2,January
3/27/2020,GU,51,6,January
3/27/2020,ND,61,9,June
3/27/2020,AK,69,10,April
3/27/2020,HI,106,11,May
3/27/2020,NE,85,12,May
3/27/2020,SD,58,12,August
3/27/2020,ME,168,13,March
3/27/2020,PR,79,15,April
3/27/2020,WY,70,17,October
3/27/2020,NH,158,21,January
3/27/2020,NM,136,24,June
3/27/2020,WV,76,25,February
3/27/2020,VT,213,28,January
3/27/2020,RI,248,31,May
3/27/2020,DE,163,33,February
3/27/2020,KS,202,34,March
3/27/2020,DC,267,36,May
3/27/2020,MT,108,37,August
3/27/2020,AR,381,46,September
3/27/2020,KY,248,50,November
3/27/2020,IA,235,56,January
3/27/2020,ID,189,66,June
3/27/2020,OK,322,74,May
3/27/2020,MN,640,75,June
3/27/2020,UT,480,78,November
3/27/2020,AL,587,81,July
3/27/2020,OR,414,87,April
3/27/2020,MS,579,94,September
3/27/2020,NV,535,115,October
3/27/2020,NC,763,127,March
3/27/2020,VA,604,144,December
3/27/2020,AZ,736,159,August
3/27/2020,WI,969,163,August
3/27/2020,MO,669,167,September
3/27/2020,MD,774,194,June
3/27/2020,TN,1203,246,March
3/27/2020,OH,1137,270,December
3/27/2020,CT,1291,279,May
3/27/2020,TX,1731,335,April
3/27/2020,IN,981,336,January
3/27/2020,CO,1430,344,September
3/27/2020,FL,2765,410,May
3/27/2020,LA,2746,441,March
3/27/2020,WA,5391,464,February
3/27/2020,GA,2001,476,January
3/27/2020,IL,3026,488,July
3/27/2020,PA,2218,531,March
3/27/2020,MA,3151,833,October
3/27/2020,CA,3879,873,January
3/27/2020,MI,13799,1324,December
3/27/2020,NJ,8825,1949,December
3/27/2020,NY,44635,7377,June
3/28/2020,MP,2,2,May
3/28/2020,VI,22,3,March
3/28/2020,GU,55,4,June
3/28/2020,SD,68,10,April
3/28/2020,NE,96,11,July
3/28/2020,WY,82,12,February
3/28/2020,HI,120,14,April
3/28/2020,AK,85,16,July
3/28/2020,ND,80,19,March
3/28/2020,WV,96,20,May
3/28/2020,MT,129,21,March
3/28/2020,PR,100,21,March
3/28/2020,VT,234,21,August
3/28/2020,AR,404,23,June
3/28/2020,NH,187,29,May
3/28/2020,DC,304,37,February
3/28/2020,ID,230,41,November
3/28/2020,ME,211,43,June
3/28/2020,MN,687,47,May
3/28/2020,DE,214,51,September
3/28/2020,KY,302,54,October
3/28/2020,NM,191,55,May
3/28/2020,OK,377,55,November
3/28/2020,KS,261,59,August
3/28/2020,IA,298,63,November
3/28/2020,RI,312,64,January
3/28/2020,OR,479,65,February
3/28/2020,SC,539,83,October
3/28/2020,MS,663,84,October
3/28/2020,NV,621,86,May
3/28/2020,AL,696,109,December
3/28/2020,UT,602,122,December
3/28/2020,VA,739,135,April
3/28/2020,AZ,873,137,April
3/28/2020,WI,1134,165,March
3/28/2020,MO,838,169,August
3/28/2020,TN,1373,170,November
3/28/2020,NC,935,172,June
3/28/2020,MD,992,218,January
3/28/2020,CT,1524,233,October
3/28/2020,IN,1232,251,May
3/28/2020,OH,1406,269,September
3/28/2020,WA,5679,288,September
3/28/2020,CO,1734,304,July
3/28/2020,TX,2052,321,February
3/28/2020,GA,2366,365,August
3/28/2020,IL,3491,465,October
3/28/2020,PA,2751,533,September
3/28/2020,LA,3315,569,May
3/28/2020,CA,4643,764,April
3/28/2020,FL,3763,998,July
3/28/2020,MA,4158,1007,May
3/28/2020,MI,14865,1066,December
3/28/2020,NJ,11124,2299,June
3/28/2020,NY,52318,7683,February
3/29/2020,GU,56,1,December
3/29/2020,VI,23,1,April
3/29/2020,WY,86,4,June
3/29/2020,NE,108,12,November
3/29/2020,AK,102,17,February
3/29/2020,ND,97,17,March
3/29/2020,WV,113,17,December
3/29/2020,DE,232,18,March
3/29/2020,AR,426,22,July
3/29/2020,SD,90,22,February
3/29/2020,VT,256,22,September
3/29/2020,MT,154,25,October
3/29/2020,NH,214,27,March
3/29/2020,PR,127,27,May
3/29/2020,HI,151,31,October
3/29/2020,ID,261,31,September
3/29/2020,DC,342,38,April
3/29/2020,IA,336,38,January
3/29/2020,MN,725,38,October
3/29/2020,ME,253,42,June
3/29/2020,AZ,919,46,January
3/29/2020,NM,237,46,May
3/29/2020,OK,429,52,January
3/29/2020,KS,319,58,October
3/29/2020,OR,548,69,July
3/29/2020,KY,394,92,October
3/29/2020,MS,758,95,May
3/29/2020,NC,1040,105,April
3/29/2020,RI,417,105,November
3/29/2020,AL,806,110,July
3/29/2020,NV,738,117,May
3/29/2020,UT,719,117,March
3/29/2020,WI,1276,142,January
3/29/2020,VA,890,151,September
3/29/2020,TN,1537,164,October
3/29/2020,LA,3540,225,February
3/29/2020,SC,774,235,December
3/29/2020,WA,5921,242,January
3/29/2020,MD,1239,247,August
3/29/2020,OH,1653,247,September
3/29/2020,IN,1514,282,December
3/29/2020,GA,2651,285,January
3/29/2020,CO,2061,327,September
3/29/2020,CT,1993,469,December
3/29/2020,FL,4246,483,May
3/29/2020,TX,2552,500,September
3/29/2020,PA,3394,643,August
3/29/2020,MA,4856,698,December
3/29/2020,MI,15784,919,April
3/29/2020,CA,5708,1065,August
3/29/2020,IL,4596,1105,July
3/29/2020,NJ,13386,2262,December
3/29/2020,NY,59513,7195,January
3/30/2020,GU,58,2,July
3/30/2020,VI,30,7,May
3/30/2020,WY,94,8,July
3/30/2020,ND,107,10,May
3/30/2020,SD,101,11,April
3/30/2020,AK,114,12,May
3/30/2020,WV,126,13,December
3/30/2020,MT,171,17,April
3/30/2020,ME,275,22,May
3/30/2020,HI,175,24,March
3/30/2020,DE,264,32,June
3/30/2020,NE,145,37,May
3/30/2020,VT,293,37,March
3/30/2020,KY,439,45,March
3/30/2020,AR,473,47,September
3/30/2020,PR,174,47,October
3/30/2020,ID,310,49,April
3/30/2020,KS,368,49,July
3/30/2020,OK,481,52,February
3/30/2020,AL,859,53,September
3/30/2020,OR,606,58,May
3/30/2020,DC,401,59,January
3/30/2020,RI,495,78,February
3/30/2020,UT,806,87,October
3/30/2020,IA,424,88,November
3/30/2020,MS,847,89,November
3/30/2020,MN,823,98,September
3/30/2020,NH,314,100,September
3/30/2020,VA,1020,130,October
3/30/2020,WI,1422,146,December
3/30/2020,SC,925,151,November
3/30/2020,GA,2809,158,January
3/30/2020,MD,1413,174,January
3/30/2020,MO,1031,193,February
3/30/2020,AZ,1157,238,June
3/30/2020,NV,996,258,February
3/30/2020,NC,1307,267,December
3/30/2020,IN,1786,272,June
3/30/2020,OH,1933,280,June
3/30/2020,TN,1834,297,June
3/30/2020,TX,2877,325,August
3/30/2020,IL,5057,461,November
3/30/2020,LA,4025,485,December
3/30/2020,WA,6484,563,October
3/30/2020,CO,2627,566,August
3/30/2020,CT,2571,578,December
3/30/2020,PA,4087,693,July
3/30/2020,CA,6447,739,May
3/30/2020,MA,5653,797,June
3/30/2020,FL,5473,1227,May
3/30/2020,MI,17363,1579,April
3/30/2020,NJ,16636,3250,August
3/30/2020,NY,66497,6984,February
3/31/2020,AK,119,5,March
3/31/2020,SD,108,7,March
3/31/2020,ND,117,10,September
3/31/2020,GU,69,11,August
3/31/2020,MT,184,13,August
3/31/2020,WY,109,15,August
3/31/2020,NE,172,27,August
3/31/2020,VT,320,27,January
3/31/2020,ME,303,28,February
3/31/2020,HI,204,29,June
3/31/2020,WV,162,36,August
3/31/2020,KY,480,41,November
3/31/2020,NM,281,44,December
3/31/2020,AR,523,50,September
3/31/2020,DE,319,55,May
3/31/2020,KS,428,60,February
3/31/2020,PR,239,65,April
3/31/2020,IA,497,73,June
3/31/2020,RI,568,73,October
3/31/2020,UT,887,81,December
3/31/2020,OK,565,84,September
3/31/2020,OR,690,84,July
3/31/2020,MS,937,90,March
3/31/2020,MN,916,93,May
3/31/2020,DC,495,94,December
3/31/2020,ID,415,105,March
3/31/2020,NV,1113,117,December
3/31/2020,AL,981,122,April
3/31/2020,AZ,1289,132,July
3/31/2020,SC,1083,158,June
3/31/2020,WI,1585,163,January
3/31/2020,NC,1498,191,June
3/31/2020,VA,1250,230,December
3/31/2020,MD,1660,247,April
3/31/2020,OH,2199,266,August
3/31/2020,MO,1327,296,March
3/31/2020,IN,2159,373,October
3/31/2020,TX,3266,389,March
3/31/2020,TN,2239,405,April
3/31/2020,WA,6949,465,April
3/31/2020,CT,3128,557,December
3/31/2020,PA,4843,756,September
3/31/2020,FL,6338,865,January
3/31/2020,MA,6521,868,May
3/31/2020,IL,5994,937,February
3/31/2020,CA,7482,1035,August
3/31/2020,GA,3929,1120,February
3/31/2020,LA,5237,1212,October
3/31/2020,MI,18654,1291,May
3/31/2020,NJ,18696,2060,June
3/31/2020,NY,75795,9298,October
4/1/2020,HI,208,4,April
4/1/2020,MP,6,4,April
4/1/2020,GU,77,8,November
4/1/2020,AK,133,14,January
4/1/2020,SD,129,21,July
4/1/2020,WY,130,21,October
4/1/2020,ND,139,22,October
4/1/2020,MT,208,24,September
4/1/2020,WV,191,29,June
4/1/2020,NM,315,34,February
4/1/2020,NE,210,38,January
4/1/2020,VT,359,39,January
4/1/2020,ME,344,41,January
4/1/2020,OR,736,46,August
4/1/2020,PR,286,47,March
4/1/2020,DE,368,49,June
4/1/2020,IA,549,52,July
4/1/2020,KS,482,54,February
4/1/2020,MN,973,57,July
4/1/2020,AR,584,61,January
4/1/2020,NC,1584,86,January
4/1/2020,DC,586,91,November
4/1/2020,AL,1077,96,April
4/1/2020,RI,668,100,June
4/1/2020,NH,415,101,January
4/1/2020,ID,525,110,July
4/1/2020,KY,591,111,February
4/1/2020,AZ,1413,124,February
4/1/2020,UT,1012,125,February
4/1/2020,MS,1073,136,November
4/1/2020,OK,719,154,February
4/1/2020,NV,1279,166,May
4/1/2020,SC,1293,210,February
4/1/2020,VA,1484,234,February
4/1/2020,WI,1821,236,October
4/1/2020,MO,1581,254,April
4/1/2020,MD,1985,325,January
4/1/2020,CO,2966,339,February
4/1/2020,OH,2547,348,August
4/1/2020,IN,2565,406,February
4/1/2020,CT,3557,429,May
4/1/2020,TN,2683,444,August
4/1/2020,WA,7399,450,April
4/1/2020,FL,6955,617,March
4/1/2020,CA,8155,673,June
4/1/2020,GA,4638,709,November
4/1/2020,TX,3997,731,March
4/1/2020,PA,5805,962,April
4/1/2020,IL,6980,986,February
4/1/2020,MA,7639,1118,September
4/1/2020,LA,6424,1187,January
4/1/2020,MI,20246,1592,March
4/1/2020,NJ,22255,3559,February
4/1/2020,NY,83712,7917,May
4/2/2020,MP,8,2,November
4/2/2020,VI,33,3,September
4/2/2020,GU,82,5,October
4/2/2020,AK,143,10,May
4/2/2020,MT,227,19,December
4/2/2020,ND,159,20,July
4/2/2020,WY,150,20,August
4/2/2020,DE,393,25,July
4/2/2020,WV,217,26,September
4/2/2020,PR,316,30,April
4/2/2020,VT,390,31,August
4/2/2020,ME,376,32,June
4/2/2020,NE,246,36,June
4/2/2020,SD,165,36,April
4/2/2020,NM,363,48,December
4/2/2020,HI,258,50,March
4/2/2020,AR,643,59,June
4/2/2020,RI,730,62,September
4/2/2020,UT,1074,62,July
4/2/2020,IA,614,65,June
4/2/2020,DC,653,67,July
4/2/2020,KS,552,70,September
4/2/2020,MN,1056,83,August
4/2/2020,KY,680,89,July
4/2/2020,OR,826,90,September
4/2/2020,MS,1177,104,September
4/2/2020,ID,669,144,July
4/2/2020,AL,1233,156,September
4/2/2020,OK,879,160,December
4/2/2020,TN,2845,162,October
4/2/2020,NV,1458,179,August
4/2/2020,AZ,1598,185,January
4/2/2020,WI,2040,219,March
4/2/2020,VA,1706,222,February
4/2/2020,MO,1834,253,December
4/2/2020,SC,1554,261,December
4/2/2020,CT,3824,267,April
4/2/2020,NC,1857,273,May
4/2/2020,MD,2331,346,June
4/2/2020,OH,2902,355,August
4/2/2020,CO,3342,376,July
4/2/2020,WA,7796,397,April
4/2/2020,IN,3039,474,November
4/2/2020,TX,4669,672,April
4/2/2020,GA,5348,710,March
4/2/2020,IL,7695,715,December
4/2/2020,CA,9191,1036,March
4/2/2020,FL,8010,1055,August
4/2/2020,MI,21376,1130,February
4/2/2020,PA,7016,1211,January
4/2/2020,MA,8867,1228,December
4/2/2020,LA,9150,2726,July
4/2/2020,NJ,25590,3335,December
4/2/2020,NY,92381,8669,October
4/3/2020,GU,84,2,April
4/3/2020,VI,38,5,November
4/3/2020,WY,162,12,June
4/3/2020,AK,157,14,January
4/3/2020,ND,173,14,November
4/3/2020,MT,243,16,March
4/3/2020,WV,237,20,September
4/3/2020,SD,187,22,September
4/3/2020,HI,285,27,June
4/3/2020,NE,279,33,September
4/3/2020,NM,403,40,June
4/3/2020,ME,432,56,July
4/3/2020,NV,1514,56,July
4/3/2020,DE,450,57,July
4/3/2020,AR,704,61,October
4/3/2020,PR,378,62,August
4/3/2020,MN,1119,63,October
4/3/2020,NH,479,64,June
4/3/2020,KS,620,68,January
4/3/2020,VT,460,70,September
4/3/2020,OR,899,73,September
4/3/2020,IA,699,85,May
4/3/2020,KY,770,90,July
4/3/2020,RI,831,101,June
4/3/2020,DC,757,104,May
4/3/2020,OK,988,109,January
4/3/2020,AZ,1769,171,December
4/3/2020,UT,1246,172,April
4/3/2020,MS,1358,181,March
4/3/2020,AL,1432,199,September
4/3/2020,ID,891,222,June
4/3/2020,TN,3067,222,January
4/3/2020,WI,2263,223,August
4/3/2020,NC,2093,236,March
4/3/2020,MO,2113,279,August
4/3/2020,VA,2012,306,November
4/3/2020,CO,3728,386,October
4/3/2020,IN,3437,398,September
4/3/2020,OH,3312,410,August
4/3/2020,WA,8211,415,May
4/3/2020,MD,2758,427,November
4/3/2020,GA,5831,483,December
4/3/2020,TX,5330,661,October
4/3/2020,CT,4914,1090,February
4/3/2020,LA,10297,1147,August
4/3/2020,MI,22579,1203,December
4/3/2020,IL,8904,1209,March
4/3/2020,PA,8420,1404,April
4/3/2020,MA,10303,1436,February
4/3/2020,CA,10701,1510,April
4/3/2020,FL,9585,1575,May
4/3/2020,NJ,29895,4305,March
4/3/2020,NY,102863,10482,March
4/4/2020,VI,40,2,March
4/4/2020,GU,93,9,October
4/4/2020,ND,186,13,March
4/4/2020,AK,171,14,September
4/4/2020,MT,265,22,September
4/4/2020,ME,456,24,September
4/4/2020,SD,212,25,April
4/4/2020,WY,187,25,May
4/4/2020,HI,319,34,December
4/4/2020,AR,743,39,January
4/4/2020,MN,1158,39,October
4/4/2020,NE,321,42,May
4/4/2020,WV,282,45,October
4/4/2020,VT,512,52,April
4/4/2020,KY,831,61,February
4/4/2020,NH,540,61,November
4/4/2020,PR,452,74,March
4/4/2020,KS,698,78,October
4/4/2020,IA,786,87,October
4/4/2020,NM,495,92,December
4/4/2020,MS,1455,97,February
4/4/2020,OR,999,100,September
4/4/2020,ID,1013,122,July
4/4/2020,RI,968,137,June
4/4/2020,DE,593,143,December
4/4/2020,DC,902,145,November
4/4/2020,AL,1580,148,June
4/4/2020,OK,1159,171,August
4/4/2020,MO,2291,178,July
4/4/2020,UT,1428,182,May
4/4/2020,WA,8418,207,September
4/4/2020,WI,2476,213,March
4/4/2020,NV,1742,228,April
4/4/2020,AZ,2019,250,November
4/4/2020,TN,3321,254,May
4/4/2020,NC,2402,309,March
4/4/2020,GA,6160,329,September
4/4/2020,CT,5276,362,June
4/4/2020,SC,1917,363,September
4/4/2020,MD,3125,367,March
4/4/2020,VA,2407,395,December
4/4/2020,OH,3739,427,December
4/4/2020,CO,4173,445,August
4/4/2020,IN,3953,516,February
4/4/2020,TX,6110,780,April
4/4/2020,MI,23581,1002,October
4/4/2020,CA,12026,1325,February
4/4/2020,MA,11637,1334,January
4/4/2020,IL,10357,1453,April
4/4/2020,FL,11111,1526,November
4/4/2020,PA,10017,1597,January
4/4/2020,LA,12496,2199,December
4/4/2020,NJ,34124,4229,November
4/4/2020,NY,113704,10841,February
4/5/2020,VI,42,2,October
4/5/2020,WY,197,10,August
4/5/2020,AK,185,14,January
4/5/2020,ME,470,14,November
4/5/2020,GU,112,19,May
4/5/2020,MT,286,21,January
4/5/2020,ND,207,21,February
4/5/2020,PR,475,23,February
4/5/2020,SD,240,28,January
4/5/2020,VT,543,31,April
4/5/2020,HI,351,32,August
4/5/2020,NE,363,42,May
4/5/2020,WV,324,42,April
4/5/2020,NM,543,48,January
4/5/2020,KS,747,49,April
4/5/2020,MN,1217,59,April
4/5/2020,ID,1077,64,August
4/5/2020,OR,1068,69,June
4/5/2020,MO,2367,76,May
4/5/2020,DE,673,80,May
4/5/2020,NH,621,81,June
4/5/2020,IA,868,82,October
4/5/2020,KY,917,86,March
4/5/2020,AR,830,87,May
4/5/2020,OK,1252,93,November
4/5/2020,NV,1836,94,June
4/5/2020,DC,998,96,May
4/5/2020,SC,2049,132,April
4/5/2020,WI,2643,167,June
4/5/2020,WA,8589,171,August
4/5/2020,UT,1605,177,December
4/5/2020,RI,1150,182,September
4/5/2020,MS,1638,183,August
4/5/2020,NC,2585,183,October
4/5/2020,AL,1796,216,February
4/5/2020,VA,2637,230,May
4/5/2020,AZ,2269,250,August
4/5/2020,OH,4043,304,May
4/5/2020,TN,3633,312,January
4/5/2020,CO,4565,392,August
4/5/2020,CT,5675,399,February
4/5/2020,IN,4411,458,September
4/5/2020,MD,3609,484,August
4/5/2020,GA,6647,487,April
4/5/2020,LA,13010,514,September
4/5/2020,TX,6812,702,September
4/5/2020,MA,12402,765,October
4/5/2020,MI,24458,877,July
4/5/2020,IL,11256,899,February
4/5/2020,FL,12151,1040,September
4/5/2020,CA,13438,1412,June
4/5/2020,PA,11510,1493,September
4/5/2020,NJ,37505,3381,November
4/5/2020,NY,122031,8327,June
4/6/2020,GU,113,1,January
4/6/2020,VI,43,1,August
4/6/2020,AK,191,6,February
4/6/2020,MT,299,13,February
4/6/2020,WY,210,13,August
4/6/2020,ND,225,18,July
4/6/2020,HI,371,20,August
4/6/2020,WV,345,21,November
4/6/2020,ID,1101,24,February
4/6/2020,ME,499,29,February
4/6/2020,VT,575,32,April
4/6/2020,KY,955,38,January
4/6/2020,PR,513,38,July
4/6/2020,AR,875,45,July
4/6/2020,NE,409,46,July
4/6/2020,NH,669,48,August
4/6/2020,SD,288,48,November
4/6/2020,OR,1132,64,October
4/6/2020,UT,1675,70,July
4/6/2020,OK,1327,75,July
4/6/2020,IA,946,78,September
4/6/2020,NM,624,81,March
4/6/2020,KS,845,98,February
4/6/2020,DC,1097,99,September
4/6/2020,MS,1738,100,March
4/6/2020,MN,1330,113,October
4/6/2020,NV,1953,117,April
4/6/2020,TN,3802,169,May
4/6/2020,AL,1968,172,April
4/6/2020,AZ,2456,187,February
4/6/2020,RI,1356,206,November
4/6/2020,WI,2866,223,September
4/6/2020,VA,2878,241,April
4/6/2020,NC,2870,285,July
4/6/2020,MO,2722,355,January
4/6/2020,CO,4950,385,March
4/6/2020,WA,8983,394,June
4/6/2020,OH,4450,407,April
4/6/2020,MD,4045,436,April
4/6/2020,TX,7276,464,November
4/6/2020,IN,4944,533,August
4/6/2020,GA,7314,667,April
4/6/2020,CA,14336,898,December
4/6/2020,IL,12262,1006,August
4/6/2020,FL,13324,1173,March
4/6/2020,CT,6906,1231,October
4/6/2020,MI,25785,1327,April
4/6/2020,MA,13739,1337,January
4/6/2020,PA,12980,1470,May
4/6/2020,LA,14867,1857,January
4/6/2020,NJ,41090,3585,December
4/6/2020,NY,130689,8658,October
4/7/2020,WY,216,6,May
4/7/2020,GU,121,8,January
4/7/2020,ND,237,12,June
4/7/2020,HI,387,16,August
4/7/2020,ME,519,20,April
4/7/2020,MT,319,20,May
4/7/2020,AK,213,22,April
4/7/2020,SD,320,32,May
4/7/2020,VT,608,33,September
4/7/2020,NE,447,38,August
4/7/2020,NH,715,46,January
4/7/2020,OR,1181,49,August
4/7/2020,KY,1008,53,July
4/7/2020,KS,900,55,November
4/7/2020,PR,573,60,August
4/7/2020,NM,686,62,November
4/7/2020,UT,1738,63,August
4/7/2020,WV,412,67,May
4/7/2020,ID,1170,69,February
4/7/2020,AR,946,71,December
4/7/2020,IA,1048,102,July
4/7/2020,MN,1432,102,May
4/7/2020,DC,1211,114,January
4/7/2020,AZ,2575,119,February
4/7/2020,NV,2087,134,December
4/7/2020,OK,1472,145,June
4/7/2020,AL,2119,151,March
4/7/2020,MS,1915,177,July
4/7/2020,WI,3064,198,June
4/7/2020,CO,5172,222,April
4/7/2020,DE,928,255,June
4/7/2020,RI,1617,261,June
4/7/2020,MO,3037,315,October
4/7/2020,MD,4371,326,April
4/7/2020,OH,4782,332,June
4/7/2020,TN,4138,336,January
4/7/2020,NC,3221,351,March
4/7/2020,SC,2417,368,July
4/7/2020,WA,9396,413,April
4/7/2020,VA,3333,455,June
4/7/2020,IN,5507,563,April
4/7/2020,CT,7781,875,June
4/7/2020,TX,8262,986,June
4/7/2020,MI,26964,1179,October
4/7/2020,IL,13549,1287,March
4/7/2020,MA,15104,1365,November
4/7/2020,LA,16284,1417,September
4/7/2020,FL,14747,1423,March
4/7/2020,GA,8818,1504,November
4/7/2020,CA,15865,1529,November
4/7/2020,PA,14559,1579,November
4/7/2020,NJ,44416,3326,August
4/7/2020,NY,138863,8174,January
4/8/2020,VI,45,2,June
4/8/2020,MP,11,3,October
4/8/2020,GU,125,4,August
4/8/2020,AK,226,13,January
4/8/2020,MT,332,13,May
4/8/2020,ND,251,14,August
4/8/2020,ME,537,18,April
4/8/2020,HI,410,23,November
4/8/2020,VT,631,23,October
4/8/2020,ID,1210,40,August
4/8/2020,PR,620,47,May
4/8/2020,WV,462,50,July
4/8/2020,OK,1524,52,July
4/8/2020,AR,1000,54,September
4/8/2020,OR,1239,58,January
4/8/2020,NE,519,72,June
4/8/2020,NH,788,73,May
4/8/2020,SD,393,73,August
4/8/2020,WY,303,87,May
4/8/2020,MS,2003,88,February
4/8/2020,IA,1145,97,October
4/8/2020,MN,1534,102,March
4/8/2020,NM,794,108,September
4/8/2020,UT,1846,108,January
4/8/2020,SC,2552,135,June
4/8/2020,KY,1149,141,June
4/8/2020,KS,1046,146,January
4/8/2020,AZ,2726,151,March
4/8/2020,NC,3426,205,May
4/8/2020,WI,3279,215,April
4/8/2020,TN,4362,224,January
4/8/2020,DC,1440,229,April
4/8/2020,NV,2318,231,January
4/8/2020,AL,2369,250,September
4/8/2020,CO,5429,257,August
4/8/2020,RI,1890,273,July
4/8/2020,MO,3327,290,January
4/8/2020,VA,3645,312,June
4/8/2020,WA,9741,345,August
4/8/2020,OH,5148,366,June
4/8/2020,IN,5943,436,June
4/8/2020,FL,15455,708,February
4/8/2020,LA,17030,746,September
4/8/2020,GA,9901,1083,December
4/8/2020,TX,9353,1091,July
4/8/2020,CA,16957,1092,February
4/8/2020,MI,28064,1100,January
4/8/2020,MD,5529,1158,March
4/8/2020,IL,15078,1529,April
4/8/2020,MA,16692,1588,April
4/8/2020,PA,16239,1680,January
4/8/2020,NJ,47437,3021,October
4/8/2020,NY,149316,10453,May
4/9/2020,VI,46,1,January
4/9/2020,GU,128,3,June
4/9/2020,AK,235,9,March
4/9/2020,WY,320,17,August
4/9/2020,ND,269,18,May
4/9/2020,ID,1232,22,August
4/9/2020,MT,354,22,March
4/9/2020,ME,560,23,March
4/9/2020,HI,435,25,June
4/9/2020,NE,567,48,November
4/9/2020,VT,680,49,December
4/9/2020,SD,447,54,May
4/9/2020,KS,1106,60,July
4/9/2020,WV,523,61,November
4/9/2020,PR,683,63,January
4/9/2020,NM,865,71,October
4/9/2020,OR,1321,82,December
4/9/2020,DC,1523,83,August
4/9/2020,MN,1637,103,August
4/9/2020,AR,1119,119,April
4/9/2020,IA,1270,125,September
4/9/2020,UT,1976,130,February
4/9/2020,NV,2456,138,March
4/9/2020,OK,1684,160,December
4/9/2020,WI,3443,164,June
4/9/2020,KY,1346,197,July
4/9/2020,MO,3539,212,August
4/9/2020,NC,3651,225,April
4/9/2020,CO,5655,226,April
4/9/2020,SC,2792,240,January
4/9/2020,MS,2260,257,January
